,age group,sample,lithology,sio2,tio2,al2o3,fe2o3*,fe2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,h2o+,total,[mg #],fe #,nb_ppm,ta_ppm,zr_ppm,y_ppm,hf_ppm,sr_ppm,rb_ppm,ba_ppm,u_ppm,th_ppm,pb_ppm,ga_ppm,ni_ppm,cr_ppm,v_ppm,co_ppm,sc_ppm,cs_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,longitude,latitude,age
61,Permian-Triassic,SC-AM-05-19,alkali feldspar granite,75.64,0.19,12.40,0.9,0.84,0.03,0.01,0.03,0.13,3.94,4.46,0.02,2.83,100.52,0.60,0.54,29.6,1.5,207,41.8,6.4,27,213.0,96.6,2.8,16.2,2.3,20,3,10,3,3,2,0.5,42.2,37.8,8.8,33.8,7.0,0.8,7.8,1.1,5.5,1.1,2.5,0.5,3.2,0.5,-74.0,-13.4,254.0
62,Permian-Triassic,SC-AM-05-21, granite,75.75,0.23,13.00,1.71,1.09,0.55,0.05,0.33,0.51,4.33,4.42,0.05,0.50,100.81,0.51,0.63,28.1,2.2,243,62.9,8.9,39,183.2,184.6,4.5,21.4,6.3,19,3,15,2,8,3,0.8,24.2,58.6,7.3,27.5,6.4,0.6,7.6,1.4,10.2,2.2,7.3,1.2,7.3,1.2,-74.1,-13.4,254.0
63,Permian-Triassic,SC-AM-05-22, granite,75.47,0.25,13.38,1.68,0.94,0.66,0.06,0.36,1.00,4.31,3.86,0.05,0.41,100.73,0.49,0.65,13.7,1.5,139,33.5,5.3,85,159.1,653.2,3.9,19.4,14.8,16,2,9,12,4,5,1.3,27.0,53.8,6.0,23.7,5.3,1.0,4.4,0.8,5.0,1.2,3.3,0.6,5.2,0.7,-74.1,-13.4,254.0
64,Permian-Triassic,SU-03-23, granite,74.68,0.145,13.83,1.78,0.53,1.24,0.01,0.02,0.29,3.92,5.04,0.03,0.26,100.00,0.03,0.98,27.0,4.3,155.0,27.0,6.0,30.4,317.9,160.5,3.4,27.2,11.8,22.0,3.0,13.0,2.0,2,2,0.0,56.8,120.1,12.5,42.3,7.4,0.3,5.5,0.8,4.2,0.9,2.7,0.4,3.0,0.4,-75.3,-11.1,254.0
65,Permian-Triassic,SC-AM-05-07,granite,73.07,0.24,13.79,2.14,0.55,1.40,0.05,0.47,1.41,3.96,3.81,0.07,1.65,100.47,0.38,0.75,19.0,3.1,139,46.1,5.4,107,276.1,358.9,4.0,29.1,9.3,19,5,11,20,7,4,6.8,35.2,62.7,7.1,25.7,6.7,0.4,6.5,1.1,7.7,1.7,5.2,0.8,5.7,0.9,-74.7,-12.4,254.0
66,Carboniferous-Permian,AM-04-12,granodiorite,69.99,0.44,14.72,3.87,1.36,2.22,0.08,1.11,3.22,3.05,2.63,0.06,1.26,100.14,0.47,0.67,11.9,1.0,153,29.3,3.6,188,83.6,624.7,3.1,12.1,18.5,17,3,53,52,9,9,0.8,37.6,70.2,7.7,29.2,6.2,1.3,5.0,0.8,4.8,1.0,2.3,0.4,3.3,0.7,-77.5,-8.0,317.5
67,Carboniferous-Permian,AM-04-13,tonalite,60.84,0.87,15.98,6.90,3.72,2.75,0.13,2.56,5.28,2.85,2.26,0.23,1.95,99.42,0.62,0.52,9.8,0.7,154,29.1,4.3,201,89.9,493.0,1.7,8.0,10.2,19,3,28,143,14,24,1.3,24.6,52.8,6.1,25.3,5.6,1.2,4.7,0.8,4.8,1.1,2.4,0.6,3.8,0.4,-77.5,-8.0,317.5
68,Carboniferous-Permian,AM-04-134,granodiorite,63.03,0.73,16.78,5.93,2.15,3.30,0.11,2.13,4.06,3.38,2.28,0.36,2.29,100.60,0.53,0.61,14.1,0.9,228,31.3,6.6,244,89.9,585.3,1.6,10.0,8.0,20,5,22,107,13,14,0.9,39.0,75.4,8.1,30.7,6.5,1.4,5.5,0.8,5.7,1.1,3.6,0.5,3.7,0.5,-77.5,-7.8,317.5
69,Carboniferous-Permian,AM-04-17a,granodiorite,64.51,0.70,15.37,5.60,2.50,2.72,0.08,1.57,4.20,2.88,2.86,0.00,1.60,99.00,0.51,0.63,14.8,0.9,183,43.1,6.4,213,111.0,485.5,2.4,8.5,9.1,19,2,13,89,12,19,1.0,30.3,62.1,7.5,33.2,7.3,1.2,7.1,1.1,7.8,1.6,4.2,0.6,3.9,0.4,-77.4,-8.1,317.5
70,Carboniferous-Permian,AM-04-20,granite,69.39,0.46,15.28,4.36,1.47,2.53,0.05,2.14,0.72,4.82,1.13,0.46,2.08,100.53,0.60,0.54,16.0,1.0,260,44.0,5.8,110,60.8,124.4,3.1,12.8,4.0,19,2,13,24,6,19,0.6,43.7,74.3,10.3,39.0,8.3,1.0,8.4,1.3,8.0,1.6,3.8,0.5,5.2,0.8,-77.4,-8.1,317.5
