,Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Longitude,Latitude
193,FL-16-16,Rodriguez et al 2019,Granite,P,Flamenco Pluton,Coastal Range batholith,333600.0,7067000.0,193.5,70.32,0.32,14.58,3.62,3.5,1.21,2.41,3.5,0.08,1.02,3.01,3.47,2.72,0.09,0.46,100.1,99.64,162.0,131,443.0,11.3,0,0,6.6,0.0,-5.0,13.0,21.7,42.1,4.5,18.1,3.2,0.7,3.1,0.5,2.5,0.6,1.6,0.3,1.4,0.28,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.66980983759021,-26.507764989756225
194,FL-16-3,Rodriguez et al 2019,Granite,P,Flamenco Pluton,Coastal Range batholith,336000.0,7059000.0,193.5,74.32,0.0,12.94,1.55,1.5,0.52,1.03,1.5,0.03,0.31,1.48,3.28,4.12,0.04,0.8,99.04,98.24,139.0,186,515.0,26.9,0,0,7.8,0.0,-5.0,31.6,37.2,62.9,8.7,30.38,5.0,0.7,5.0,0.8,4.5,1.0,3.0,0.4,2.7,0.49,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.64676514582155,-26.5802482605945
195,FL-16-8,Rodriguez et al 2019,Tonalite,P,Flamenco Pluton,Coastal Range batholith,333000.0,7065000.0,193.5,60.08,0.65,16.96,7.11,6.91,2.03,5.08,6.91,0.14,2.93,6.15,3.47,1.33,0.12,0.73,99.68,98.95,244.0,41.9,239.0,4.9,0,0,5.7,0.0,-5.0,28.5,15.2,39.1,4.9,24.1,4.5,1.3,4.6,0.7,4.4,1.0,3.0,0.4,2.8,0.48,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.67609082923278,-26.525745068721
196,FL-16-9,Rodriguez et al 2019,Tonalite,P,Flamenco Pluton,Coastal Range batholith,331000.0,7067000.0,193.5,62.22,0.74,17.04,6.54,6.35,1.87,4.67,6.35,0.12,2.58,5.94,3.59,1.4,0.11,0.51,100.7,100.19,201.0,44.2,232.0,3.6,0,0,5.1,0.0,-5.0,27.0,11.6,25.0,3.2,14.4,3.2,1.0,3.6,0.9,3.9,0.9,2.7,0.4,2.7,0.48,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.69589151668465,-26.507457289280293
197,FL-16-14,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,338000.0,7068000.0,194.0,67.26,0.4,15.58,2.23,2.17,0.64,1.59,2.17,0.08,1.27,4.03,3.47,2.59,0.15,0.75,99.45,98.7,123.0,100,373.0,7.8,0,0,7.5,0.0,-5.0,26.8,20.9,45.0,6,22.0,4.9,1.0,4.8,0.8,4.3,0.9,2.6,0.4,2.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.62554362134203,-26.499249281778432
198,FL-16-15,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,333500.0,7067000.0,194.0,67.6,0.44,15.58,4.55,4.42,1.3,3.25,4.42,0.09,1.58,4.24,3.58,2.24,0.11,0.39,100.4,100.01,225.0,84.1,368.0,10.4,0,0,6.4,0.0,-5.0,24.4,20.6,41.4,5.2,19.4,3.8,1.0,4.0,0.6,3.7,0.9,2.4,0.4,2.3,0.47,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.6708129868381,-26.507753243219625
202,03_78,Vasquez et al 2011,Granite,P,Jurassic Pluton,La Estrella,246754.0,6206702.0,197.0,76.0,0.12,12.0,1.07,1.03,0.36,0.71,1.03,0.03,0.25,0.33,3.68,4.54,0.05,0.33,98.6,98.27,33.0,195,753.0,14,5.2,1.4,15.0,129.0,5.0,45.0,45.0,90.0,11,43.0,9.4,1.0,9.0,1.6,9.4,1.8,5.2,0.84,5.0,0.72,2,52.0,140.0,-2.5,-15.0,-15.0,0.0,0.0,0,0,0.0,0.0,4.4,0.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,23,0.0,0.0,-71.74999926753766,-34.249999604882056
203,05_24,Vasquez et al 2011,Granite,P,Jurassic Pluton,La Estrella,246754.0,6206702.0,197.0,77.0,0.14,11.9,1.56,1.51,0.52,1.04,1.51,0.03,0.05,0.09,4.3,4.17,0.04,0.53,99.8,99.27,16.0,147,1170.0,13,2.6,2.5,28.0,487.0,15.0,89.0,51.0,59.0,13.2,51.0,10.8,1.6,10.5,2.1,13.2,2.8,8.8,1.48,9.7,1.43,1,90.0,-0.5,-10,-10.0,-2.5,0.0,0.0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,14,0.0,0.0,-71.74999926753766,-34.249999604882056
204,CPV-12-92,Coloma et al 2017,Quartz diorite,P,Algodones Granite,0,298038.0,6887501.0,201.0,53.61,0.91,13.59,7.49,7.3,1.94,5.55,7.3,0.1,4.36,6.21,3.18,1.58,0.26,0.0,91.33,91.33,318.91,18.24,214.04,4.19,0.74,0.27,3.98,7.34,0.68,12.32,9.76,36.11,3.57,19.74,4.47,1.06,4.24,0.65,3.62,0.72,2.05,0.28,1.83,0.26,10.93,61.9,21.08,30.28,68.36,178.39,0.0,0.0,44.93,-0.25,0.0,0.14,2.99,0.44,-0.5,0.01,0.34,14.77,0.75,0.0,0.3,5.52,0.02,0.0,-71.05616294090466,-28.122661802719353
205,2379-R,Gana 1991,Granite,P,Tranquilla - Millahue Plutonic Complex,0,242797.0,6622045.0,201.0,77.05,0.07,12.6,0.81,0.75,0.55,0.26,0.75,0.03,0.05,0.62,3.71,4.53,0.06,0.44,99.97,99.53,27.0,212,135.0,0,0,0,0.0,-0.25,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,5.0,5.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.67999815034649,-30.50639350914536
206,CBR-5,Parada et al 1999,Leucogranite,P,Limarí Complex,0,269154.0,6477058.0,203.0,71.53,0.17,11.83,3.79,3.59,2.0,1.79,3.59,0.0,0.19,0.81,3.34,4.62,0.04,0.0,96.32,96.32,39.0,173,432.0,26.6,3.3,0,-2.5,107.0,0.0,30.0,26.1,52.7,0,22.5,5.39,0.56,4.68,0,4.95,0.0,2.47,0.0,2.8,0.38,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,-71.43885520459916,-31.818794133568662
207,CBR-7,Parada et al 1999,Gabbro,P,Limarí Complex,0,269154.0,6477058.0,203.0,49.8,0.88,15.9,15.36,14.55,8.09,7.27,14.55,0.13,8.42,11.5,1.99,0.44,0.11,1.2,105.73,104.53,162.0,25,-5.0,1.2,0.3,0,8.0,77.0,0.0,18.0,6.7,15.6,2.1,9.4,2.9,0.96,3.1,0.5,3.9,0.7,2.4,0.3,1.9,0.33,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,-71.43885520459916,-31.818794133568662
208,D-18A,Parada et al 1999,Gabbro,P,Limarí Complex,0,265735.0,6509246.0,203.0,48.7,0.27,15.6,11.33,10.73,5.97,5.36,10.73,0.11,10.2,17.2,0.8,0.12,0.05,0.75,105.13,104.38,215.0,9,-5.0,-2.5,0.3,0,0.0,27.0,0.0,0.0,3.6,5.0,0.9,3.5,1.1,0.31,1.4,0.2,1.5,0.25,0.9,0.1,0.7,0.14,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,-71.4672602825392,-31.52795888389898
209,TEN-32,Parada et al 1999,Leucogranite,P,Limarí Complex,Altos de Talinay,263395.0,6564140.0,203.0,75.28,0.2,12.6,6.93,6.77,1.62,5.31,6.77,0.08,0.13,0.68,3.34,5.0,0.04,0.65,104.93,104.28,34.0,277,459.0,26.7,3.7,0,-2.5,189.0,0.0,30.0,15.9,33.2,0,14.5,3.79,0.5,3.58,0,4.45,0.0,2.78,0.0,3.32,0.47,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.4789001245877,-31.032649487568403
210,03_74,Vasquez et al 2011,Granite,P,Triassic Pluton,Pichilemu,224545.0,6178316.0,205.0,76.5,0.05,12.6,0.8,0.77,0.27,0.53,0.77,0.02,0.1,0.42,3.42,4.58,0.05,0.26,98.8,98.54,10.0,299,162.0,16,4.5,2.3,24.0,57.0,-3.0,47.0,16.0,32.0,4.6,17.0,5.4,0.2,6.6,1.4,8.8,1.9,5.7,0.98,5.7,0.87,2,51.0,155.0,-10,-10.0,21.0,0.0,0.0,0,0,0.0,0.0,8.3,0.0,0.0,0.0,16.0,24.0,0.0,0.0,0.0,27,0.0,0.0,-71.9999978232947,-34.49999957635161
211,CPV-12-91A,Coloma et al 2017,Diorite,P,Carrizal Bajo Complex,0,301526.0,6884546.0,207.0,51.74,1.33,12.62,9.35,9.11,2.42,6.93,9.11,0.11,4.23,7.32,2.88,1.44,0.5,0.0,91.54,91.54,206.63,33.07,233.04,7.69,1.61,0.79,14.3,25.6,1.33,43.05,11.35,42.44,4.91,24.04,6.08,1.65,6.65,1.15,6.98,1.44,4.19,0.58,3.9,0.57,17.43,67.88,23.76,31.21,74.08,182.79,0.0,0.0,24.36,-0.25,0.0,0.26,3.87,0.78,-0.5,0.03,0.61,17.31,1.06,0.0,0.42,8.55,0.04,0.0,-71.02117046324051,-28.1498481915537
212,CPV-12-91B,Coloma et al 2017,Tonalite,P,Carrizal Bajo Complex,0,301526.0,6884546.0,207.0,68.22,0.41,8.73,3.13,3.04,0.89,2.24,3.04,0.05,0.52,2.2,2.7,1.25,0.11,0.0,87.39,87.39,130.27,27.64,432.95,55.85,1.69,0.3,6.12,102.12,2.81,26.01,57.11,106.6,16.57,45.06,8.48,1.49,7.94,1.06,5.24,1.0,2.79,0.36,2.42,0.36,3.8,22.21,3.42,3.59,5.77,22.61,0.0,0.0,36.59,-0.25,0.0,0.18,5.57,0.5,-0.5,0.02,0.95,17.71,0.54,0.0,0.52,14.87,0.14,0.0,-71.02117046324051,-28.1498481915537
213,CPV-12-93,Coloma et al 2017,Granite,P,Carrizal Bajo Complex,0,288859.0,6878634.0,207.0,67.83,0.12,10.44,1.11,1.07,0.37,0.74,1.07,0.04,0.33,1.01,3.63,3.96,0.07,0.0,88.71,88.71,50.02,234.15,231.4,14.41,3.76,0.64,6.77,74.73,2.37,33.56,11.46,38.88,3.24,15.66,3.87,0.5,4.15,0.76,4.71,0.98,3.0,0.45,3.27,0.48,2.61,31.61,2.36,3.86,5.48,7.14,0.0,0.0,2.75,-0.25,0.0,0.05,10.26,0.21,1.73,0.03,8.21,15.18,0.29,0.0,0.41,20.5,0.11,0.0,-71.15116060041977,-28.201215259594566
214,2365-R,Gana 1991,Undefined plutonic rock,P,Tranquilla - Millahue Plutonic Complex,0,241901.0,6619343.0,210.0,76.66,0.12,12.01,1.29,1.17,1.24,0.05,1.17,0.03,0.07,0.45,3.83,4.83,0.04,0.52,99.85,99.33,30.0,179,137.0,0,0,0,0.0,-0.25,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,8.0,9.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
215,PG-17,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,48.91,0.53,16.42,5.78,5.42,3.6,2.18,5.42,0.1,9.87,13.64,1.42,0.25,0.09,2.79,99.8,97.01,196.0,10,44.0,0,0,0,0.0,-0.25,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,137,381.0,138.0,0.0,0.0,112,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
216,PG-18,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,49.59,0.48,16.83,6.04,5.66,3.77,2.27,5.66,0.1,9.2,12.37,2.01,0.33,0.08,2.66,99.68,97.02,258.0,12,29.0,0,0,0,0.0,-0.25,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,143,614.0,129.0,0.0,0.0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
217,PG-20,Gana 1991,Undefined plutonic rock,P,Tranquilla - Millahue Plutonic Complex,0,241901.0,6619343.0,210.0,66.94,0.85,14.92,4.74,4.44,3.0,1.74,4.44,0.06,1.46,3.11,3.05,3.16,0.18,1.25,99.7,98.45,181.0,142,486.0,0,0,0,0.0,-0.25,0.0,0.0,37.1,0.0,0,0.0,9.63,1.74,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,28.0,82.0,0.0,0.0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
218,PG-214,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,56.6,1.35,15.04,8.04,7.81,2.3,5.74,7.81,0.11,5.22,7.78,2.97,1.19,0.11,1.44,99.88,98.44,170.0,54,190.0,0,0,0,0.0,-0.25,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,45,180.0,210.0,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
219,PG-22,Gana 1991,Undefined plutonic rock,P,Tranquilla - Millahue Plutonic Complex,0,241901.0,6619343.0,210.0,74.78,0.2,12.96,1.76,1.62,1.41,0.35,1.62,0.04,0.28,0.77,4.26,3.92,0.09,0.67,99.72,99.05,65.0,133,252.0,0,0,0,0.0,-0.25,0.0,0.0,27.13,0.0,0,0.0,6.15,0.97,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,12.0,8.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
220,PG-230,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,51.06,2.32,15.32,11.17,10.84,3.33,7.84,10.84,0.18,5.41,7.74,3.69,0.8,0.27,1.98,99.94,97.96,220.0,25,170.0,0,0,0,0.0,190.0,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.5,-5.0,230.0,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
221,PG-233,Gana 1991,Undefined plutonic rock,P,Tranquilla - Millahue Plutonic Complex,0,241901.0,6619343.0,210.0,71.65,0.45,13.92,2.7,2.54,1.61,1.09,2.54,0.03,0.73,2.0,3.76,3.65,0.1,0.72,99.7,98.98,120.0,174,340.0,0,0,0,0.0,-0.25,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.5,-5.0,30.0,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
222,PG-234,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,49.8,2.49,15.98,10.56,10.27,2.88,7.68,10.27,0.17,6.11,9.14,2.97,0.66,0.19,1.6,99.67,98.07,230.0,22,140.0,0,0,0,0.0,0.0,0.0,0.0,-0.03,0.0,0,0.0,3.77,1.68,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.5,-5.0,210.0,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
223,PG-237,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,48.81,1.4,16.96,8.49,8.2,2.9,5.59,8.2,0.12,8.04,10.6,2.71,0.84,0.14,1.49,99.6,98.11,230.0,39,70.0,0,0,0,0.0,190.0,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.5,-5.0,200.0,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
224,PG-282,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,48.87,0.57,19.08,5.63,5.48,1.53,4.1,5.48,0.09,9.14,11.51,2.0,0.27,0.05,2.13,99.44,97.31,290.0,14,40.0,0,0,0,0.0,120.0,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.5,-5.0,120.0,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
225,PG-284,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,51.13,2.27,14.58,10.13,9.85,2.83,7.3,9.85,0.17,7.31,10.46,2.62,0.23,0.2,1.09,100.18,99.09,170.0,5,30.0,0,0,0,0.0,50.0,0.0,0.0,0.0,0.0,0,0.0,-0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.5,-5.0,300.0,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
226,PG-296,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,60.9,1.57,14.0,7.26,7.1,1.64,5.62,7.1,0.08,4.38,6.06,2.76,1.78,0.15,0.93,99.9,98.97,170.0,101,220.0,0,0,0,0.0,210.0,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.5,-5.0,180.0,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
227,PG-6,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901.0,6619343.0,210.0,56.77,1.43,15.72,8.09,7.57,5.2,2.89,7.57,0.17,4.13,5.88,4.57,1.21,0.17,1.4,99.53,98.13,202.0,41,219.0,0,0,0,0.0,180.0,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39,131.0,161.0,0.0,0.0,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.68999675263679,-30.53055686722682
228,11018,Vasquez and Franz 2008,Gabronorite,P,Cobquecura Pluton,0,698129.0,6006417.0,211.6,48.93,0.82,17.96,6.86,6.75,1.14,5.72,6.75,0.12,9.92,9.72,2.34,0.61,0.09,1.47,99.76,98.29,0.0,0,0.0,0,0,0,0.0,80.0,0.0,0.0,8.0,18.0,2,11.0,3.0,0.9,3.0,0.5,3.2,0.6,1.9,0.28,1.8,0.27,-0.55,43.0,73.0,160,387.0,144.0,0.0,0.0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,-66.79999795199883,-36.06666807482126
229,41334,Vasquez and Franz 2008,Undefined plutonic rock,P,Cobquecura Pluton,0,696544.0,6002753.0,211.6,55.53,1.51,15.73,8.55,8.35,1.97,6.58,8.35,0.16,4.01,5.91,4.05,1.45,0.15,1.05,99.19,98.14,0.0,0,0.0,0,0,0,0.0,168.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23,73.0,87.0,-2.5,32.0,189.0,0.0,0.0,-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0,0.0,0.0,-66.81667313335618,-36.09999966049097
230,41699,Vasquez and Franz 2008,Undefined plutonic rock,P,Cobquecura Pluton,0,696544.0,6002753.0,211.6,68.49,0.5,15.03,2.63,2.54,0.88,1.75,2.54,0.04,0.67,2.2,4.26,3.48,0.1,0.82,98.71,97.89,0.0,0,0.0,0,0,0,0.0,376.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,-10.0,151.0,-10,26.0,30.0,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0,0.0,0.0,-66.81667313335618,-36.09999966049097
231,42064,Vasquez and Franz 2008,Diabase,P,Cobquecura Pluton,0,696544.0,6002753.0,211.6,52.1,2.53,14.03,11.19,11.0,1.87,9.33,11.0,0.19,3.3,5.44,4.01,1.63,0.38,2.51,98.71,96.2,0.0,0,0.0,0,0,0,0.0,263.0,0.0,0.0,22.0,53.0,7,32.0,8.0,2.4,0.0,0,8.6,1.8,5.0,0.75,4.7,0.72,25,114.0,43.0,-2.5,-10.0,295.0,0.0,0.0,-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0,0.0,0.0,-66.81667313335618,-36.09999966049097
232,42430,Vasquez and Franz 2008,Diabase,P,Cobquecura Pluton,0,696544.0,6002753.0,211.6,56.13,1.78,14.98,8.39,8.25,1.4,6.99,8.25,0.12,3.06,3.75,4.66,2.0,0.23,2.01,98.2,96.19,0.0,0,0.0,0,0,0,0.0,213.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25,90.0,55.0,-10,20.0,196.0,0.0,0.0,-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0,0.0,0.0,-66.81667313335618,-36.09999966049097
233,42795,Vasquez and Franz 2008,Undefined plutonic rock,P,Cobquecura Pluton,0,696544.0,6002753.0,211.6,51.2,1.32,16.2,7.78,7.65,1.3,6.48,7.65,0.13,6.5,8.54,3.47,1.28,0.16,1.65,99.06,97.41,0.0,0,0.0,0,0,0,0.0,130.0,0.0,0.0,12.0,29.0,4,17.0,4.0,1.4,4.7,0.8,4.9,1.0,3.0,0.43,2.8,0.43,24,62.0,66.0,45,225.0,195.0,0.0,0.0,-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0,0.0,0.0,-66.81667313335618,-36.09999966049097
234,42856,Vasquez and Franz 2008,Gabronorite,P,Cobquecura Pluton,0,695800.0,5992200.0,211.6,49.11,0.71,19.49,5.06,4.98,0.84,4.22,4.98,0.1,6.83,13.28,2.63,0.35,0.07,1.38,99.73,98.35,0.0,0,0.0,0,0,0,0.0,57.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,42.0,47.0,63,460.0,169.0,0.0,0.0,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,-66.82230474333858,-36.19522402511594
235,43160,Vasquez and Franz 2008,Undefined plutonic rock,P,Cobquecura Pluton,0,701131.0,6006348.0,211.6,67.54,0.62,15.25,4.2,4.08,1.2,3.0,4.08,0.06,0.83,2.56,3.69,2.39,0.13,1.05,99.0,97.95,0.0,0,0.0,0,0,0,0.0,401.0,0.0,0.0,42.0,83.0,11,41.0,8.0,1.7,3.4,1.1,6.8,1.4,3.9,0.58,3.7,0.57,-0.55,47.0,106.0,-10,21.0,45.0,0.0,0.0,-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,-66.76666911580769,-36.06667338895382
236,43556,Vasquez and Franz 2008,Granite (fayalite bearing),P,Cobquecura Pluton,0,699672.0,6008232.0,211.6,66.8,0.65,14.41,6.79,6.56,2.26,4.53,6.56,0.13,0.5,2.94,4.02,2.96,0.18,0.61,100.9,100.29,0.0,0,0.0,0,0,0,0.0,278.0,0.0,0.0,37.0,77.0,9,36.0,8.0,2.0,7.9,1.2,7.7,1.6,4.5,0.65,4.4,0.66,24,98.0,49.0,-2.5,-5.0,-15.0,0.0,0.0,-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0,0.0,0.0,-66.783335007602,-36.050000957789706
237,43586,Vasquez and Franz 2008,Gabronorite,P,Cobquecura Pluton,0,695800.0,5992200.0,211.6,48.33,0.54,18.7,5.45,5.36,0.91,4.54,5.36,0.11,7.76,12.99,2.33,0.38,0.06,2.3,99.69,97.39,0.0,0,0.0,0,0,0,0.0,44.0,0.0,0.0,2.0,6.1,1,8.0,1.0,0.8,1.7,0.3,1.9,0.4,1.1,0.13,1.0,0.15,-15,40.0,39.0,51,378.0,175.0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0,0.0,0.0,-66.82230474333858,-36.19522402511594
