Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl
CB55_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398281,7345377,140,52.55,0.81,18.27,8.82,7.936236,,,7.936236,0.15,6.21,8.73,2.66,1.13,0.163,1.59,101.083,99.493,401,6,223,1.1,0.49,,2,56,1.854556018,22,7.921132754,18.2157889,2.624575506,11.16474742,2.627173209,0.896689819,2.667280289,0.398341156,2.42064194,0.497526662,1.373819871,0.204467173,1.268070086,0.189085135,10,33,,9,16,58,,,,,,,,,,,0.750082749,,,,,3.95,,
U_24,Lucassen et al 2006,,P,DS Coastal Batholith,,355708,7363470,140,61.25,0.53,17.29,5.74,5.164852,,,5.164852,0.11,2.93,6.58,3.93,1.19,0.14,0.718,99.69,98.972,410.6904352,22.27898602,342,1.459152274,0.414342404,,3,112,,14,7.910048798,19.77052046,2.597509989,11.28119476,2.532484288,0.838027683,2.321307472,0.360152532,2.219802828,0.462932572,1.342081836,0.194772117,1.339651717,0.204016431,,59,,13,29,107,,,,,,,,,,,1.191928716,,,,,5.144676482,,
U_8,Lucassen et al 2006,,P,DS Coastal Batholith,,355708,7363470,140,58.28,0.64,18.08,7.57,6.811486,,,6.811486,0.13,3.15,6.86,3.83,1.26,0.16,0.947,99.96,99.013,427.7682343,26.88573628,335,1.886457707,0.646837185,,3,114,,18,9.051069633,21.47278083,3.047502868,14.08820242,3.4066855,1.090298264,3.386001038,0.508604414,3.179864234,0.654926187,1.869429835,0.272462541,1.801038162,0.268231551,,66,,10,30,135,,,,,,,,,,,1.020921309,,,,,4.869709926,,
U_83,Lucassen et al 2006,,P,DS Coastal Batholith,,355708,7363470,140,62,0.5,16.96,5.7,5.12886,,,5.12886,0.12,2.51,5.5,3.89,1.4,0.14,0.837,98.72,97.883,368.2524954,27.72914029,293,2.435319588,0.576940277,,4,92,,16,9.414828688,21.52490184,2.71951694,11.53883038,2.511504436,0.825275231,2.421270512,0.372307186,2.302303831,0.476925499,1.449801052,0.212783768,1.475027935,0.239396162,,74,,9,4,149,,,,,,,,,,,1.309209925,,,,,6.346032867,,
U_85,Lucassen et al 2006,,P,DS Coastal Batholith,,355708,7363470,140,59.37,0.69,17,7.02,6.316596,,,6.316596,0.14,2.9,6.16,3.56,1.69,0.18,0.755,98.71,97.955,364.3635904,33.89008634,347,3.440477037,0.843261811,,2,102,,21,12.2159302,27.33030233,3.591410405,15.58364965,3.504416666,1.026410877,3.406030894,0.533629776,3.309562361,0.682864284,2.012828481,0.296177092,1.966304309,0.294886052,30,78,,45,45,230,,,,,,,,,,,1.744702514,,,,,5.49,,
PC 1049,Marschik et al 2003,Andesite,P,Dike,Batolito Copiapó,370155,6948420,140,58.77,0.4,18.05,,,6.04,,6.04,0.04,2.13,1.7,6.94,3.68,0.21,2.39,100.35,97.96,125,58,494,<1,<2,,2.5,118,4,15,,,,,,,,,,,,,,,0,18,14,<2,11,92,,,<4,0,,,,,,,,20,,,,<2,,
PC909,Marschik et al 2003,Dacite,P,Dike,Batolito Copiapó,371640,6951380,140,68.63,0.29,14.93,,,3.31,,3.31,0.02,1.19,0.41,4.63,4.76,0.11,1.04,99.32,98.28,66,76,769,3,2,,4,123,6,15,,,,,,,,,,,,,,,3,20,64,56,6,41,,,6,5,,,,,,,,16,,,,3,,
PC 914,Marschik et al 2003,Dacite,P,Dike,Batolito Copiapó,371555,6951380,140,64.75,0.44,15.36,,,4.41,,4.41,0.11,1.67,2.15,3.69,4.7,0.11,2.38,99.77,97.39,311,78,1925,<2,<2,,4,107,3,20,,,,,,,,,,,,,,,8,54,64,56,8,92,,,6,<3,,,,,,,,16,,,,6,,
PR-11-153,Rossel et al 2013,Diorite (micro),P,Agua Salada Volcanic Complex,0,275629,6729590,143.3,54.68,0.95,14.76,6.1,5.94,1.58,4.52,5.94,0.07,4.34,9.08,3.05,0.88,0.36,5.63,99.9,94.27,184.42,9.29,130.44,3.6,0.87,0.05,2.25,62.25,1.57,17.87,9.7,21.37,2.41,12.74,2.92,0.67,2.75,0.42,2.33,0.47,1.32,0.18,1.19,0.17,15.76,11.14,8.91,11.68,26.04,99.43,0,0,9.12,0,0,0.08,0.52,0.06,0,0.01,0.28,6.61,0.45,0,1.07,1.35,0.04,0
PR-11-154,Rossel et al 2013,Diorite (micro),P,Agua Salada Volcanic Complex,0,278965,6724231,143.3,50.07,0.64,16.49,6.63,6.46,1.72,4.91,6.46,0.09,7.74,10.37,3.2,0.88,0.2,3.63,99.94,96.31,150.04,8.37,47.85,0.34,0.21,0.02,0.89,6.78,0.19,12.23,1.48,6.43,1,5.51,1.75,0.41,1.71,0.29,1.75,0.35,1.01,0.14,0.91,0.13,15.67,141.58,8.11,18.68,44.16,71.39,0,0,2,0,0,0.01,0.17,0.13,0,0,0.14,5.16,0.39,0,0.47,0.41,0.01,0
2382-R,Gana 1991,Diorite,P,Talinay Plutonic Complex,0,241866,6618541,144,47.85,1.22,17.02,8.93,8.38,5.52,3.41,8.38,0.18,8.57,11.47,2.55,0.37,0.11,1.46,99.73,98.27,148,16,41,0,0,0,0,-0.25,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,132,302,199,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO184,Oliveros et al 2007,Granite,P,Oficina Viz Formation,0,392313,7736506,144,55.26,0.79,16.53,7.65,7.4,2.47,5.18,7.4,0.16,3.54,6.34,3.65,2.62,0.27,1.54,98.34,96.8,418.6,172.7,286.2,16,4.19,0.43,4.73,133.2,4.25,24.02,20.51,48.19,6.49,27.46,5.91,1.2,4.95,0.72,4.28,0.84,2.44,0.38,2.51,0.4,0,64.64,19.39,7.54,8.12,179.8,0,0,227.7,6.74,1.78,1.1,3.93,1.03,0.32,-0.1,6.69,18.74,1.47,0.07,1.82,10.14,0,0
VO185,Oliveros et al 2007,Granodiorite,P,Oficina Viz Formation,0,392139,7736474,144.4,63.06,0.6,15.38,5.02,4.81,2.14,2.88,4.81,0.1,1.78,3.77,3.42,4.58,0.17,0.7,98.58,97.88,271.6,266,359.4,40.38,11.31,0.87,8.9,372.1,10.52,29.19,33.2,74.23,9.26,35.96,7.21,0.98,5.66,0.85,5.07,1,2.97,0.46,3.17,0.5,0,50.69,11,-2.5,-5,95.59,0,0,135.6,7.56,2.06,1.39,3.17,1.76,0.17,-0.1,12.82,17.79,1.44,0.05,3.52,13.94,0,0
2380-R,Gana 1991,Granite,P,Tranquilla - Millahue Plutonic Complex,0,241040,6617443,147,70.67,0.67,13.64,3.96,3.72,2.41,1.55,3.72,0.06,0.96,2.22,3.29,3.54,0.13,0.6,99.74,99.14,117,179,342,0,0,0,0,-0.25,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,5,16,62,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB_10_dique_Kr,Lucassen and Franz 1994,,P,DS Coastal Batholith,,262620,7343772,150,54.9,1.15,17.75,8.9,8.00822,2.67,2.402505084,8.00822,0.14,3.52,6.04,3.41,0.92,0.223,1.51,98.463,96.953,289.4647529,10.41977944,223.0497267,2.342527089,0.805294379,,4,161.4762877,4.58788774,17.99929796,12.8705188,31.11219474,4.379879509,18.69190072,4.56436036,1.172415164,4.691579813,0.69909067,4.264264749,0.859527899,2.479576286,0.354852068,2.269089614,0.324818749,33,61,60,16,45,282,,,171,,,,,,,,,16,,,,4.803421089,,
CB_120_dique_Kr,Lucassen and Franz 1994,,P,DS Coastal Batholith,,262620,7343772,150,67.74,0.37,17.4,2.9,2.60942,0.87,0.782838735,2.60942,0.03,1.38,3.96,4.26,0.8,0.119,1.38,100.339,98.959,318.238408,13.77241672,153.366598,1.300223074,0.394195434,,2,110.6276722,2.829928946,5.82870053,7.382872898,15.89698638,2.015091196,7.692913232,1.534746176,0.55925545,1.463389698,0.198817906,1.120588663,0.209928264,0.575783195,0.080326962,0.579138968,0.091605643,26,72,43,159,289,205,,,75,,,,,,,,,17,,,,3.56167367,,
CB_55_dique_Kr,Lucassen and Franz 1994,,P,DS Coastal Batholith,,262620,7343772,150,52.55,0.81,18.27,8.82,7.936236,2.646,2.380909533,7.936236,0.15,6.21,8.73,2.66,1.13,0.163,1.59,101.083,99.493,401.3488705,5.747000845,170.214323,1.101792128,0.487997828,,2,62.27616858,1.854556018,9.719605925,7.921132754,18.2157889,2.624575506,11.16474742,2.627173209,0.896689819,2.667280289,0.398341156,2.42064194,0.497526662,1.373819871,0.204467173,1.268070086,0.189085135,10,33,27,9,16,58,,,71,,,,,,,,,19,,,,3.947806292,,
KU_188_dique_Kr,Lucassen and Franz 1994,,P,DS Coastal Batholith,,262620,7343772,150,52.89,0.8,17.52,8.15,7.33337,2.445,2.20004679,7.33337,0.13,8,7.64,2.83,0.6,0.119,1.87,100.549,98.679,231.1459503,3.176667969,146.6230195,0.448474138,0.185794026,,2,73.48040385,2.077068875,11.79616126,5.544255037,13.65927826,1.960017984,8.88350588,2.26526804,0.825602839,2.532402881,0.375214497,2.345108372,0.462350432,1.337448744,0.194535047,1.287707304,0.191992633,,,23,9,26,308,,,,,,,,,,,,,,,,,,
CB3b_gabros,Lucassen et al 2002,,P,DS Coastal Batholith,,398281,7345377,150,42.91,0.67,23.29,10.11,9.096978,,,9.096978,0.1,6.62,13.96,0.92,0.14,0.018,1.63,100.368,98.738,387,1,38,0.27,0.06,,2,26.13898577,0.714099822,10,1.245054915,2.753755926,0.384904833,1.663321125,0.439964321,0.21122528,0.454541423,0.073459416,0.453310452,0.094983925,0.253712849,0.033176584,0.195291052,0.028053487,93,31,,60,382,235,,,,,,,,,,,0.038563173,,,,,0.57,,
81078,Rogers and Hawkesworth 1989,Monzodiorite,P,Jurassic pluton,Tocopilla,377502,7556560,154.7,60,0.88,15.99,7.2,7.01,1.87,5.33,7.01,0.16,3.16,3.81,4.89,2.84,0.16,1.65,100.74,99.09,219,99,393,10.51,0,0.43,7,196,5.4,27,20.4,44.6,0,24.1,5.6,1.24,0,0.83,0,0,0,0.43,2.62,2.62,0,0,0,9,30,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81094,Rogers and Hawkesworth 1989,Quartz monzodiorite,P,Jurassic pluton,Cerro Colupito,397698,7543115,155,58.63,0.76,16.45,7.7,7.5,2,5.7,7.5,0.17,3.08,6.18,3.56,2.69,0.17,0.99,100.38,99.39,336,80,440,8.42,0,0.35,6,155,4.78,30,14.8,34.3,0,19.4,4.7,1.07,0,0.72,0,0,0,0.42,2.68,2.68,0,0,0,4,21,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_60,Vasquez et al 2011,Monzonite,P,Jurassic Pluton,Montecillos,230349,6085951,155,60.6,0.73,16.3,7.1,6.9,2.03,5.07,6.9,0.12,2.67,5.45,3.22,3.09,0.17,0.76,100.4,99.64,328,141,571,13,2.4,0.3,5,191,6,26,21,50,6.7,27,5.9,1.1,5.3,0.9,5,1,3.1,0.45,3.1,0.48,20,51,102,12,-15,170,0,0,0,0,0,0,1.8,0,0,0,6,21,0,0,0,13,0,0
05_25,Vasquez et al 2011,Monzodiorite,P,Jurassic Pluton,Montecillos,230349,6085951,155,59.9,0.69,17,6.91,6.73,1.79,5.12,6.73,0.14,2.84,6.41,3.17,2.7,0.14,0.42,100.5,100.08,315,108,498,12.9,3,0.3,8,185,6,23,18,42,5.3,22,4.9,1,4.5,0.8,4.2,0.9,2.7,0.4,2.7,0.4,22,90,43,-2.5,-15,171,0,0,0,0,0,0,2,0,0,0,8,15,0,0,0,31,0,0
86-3-13,Pichowiak 1994,Granodiorite,P,Caleta El Cobre Batholith,0,346998,7318652,155.4,60.74,0.77,16.65,6.95,6.69,2.56,4.39,6.69,0.12,2.58,5.19,3.79,2.78,0.18,0.01,99.76,99.75,167,113,554,0,0,0,27,209,0,27,22.3,48.9,0,23.7,5.7,1.5,4.2,0,3.6,0,1.96,0,2.4,0.3,0,110,0,29,230,171,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-3-14,Pichowiak 1994,Granodiorite,P,Caleta El Cobre Batholith,0,346998,7318652,155.4,65.91,0.97,13.35,6.47,6.2,2.66,3.81,6.2,0.05,1.61,3.83,3.27,3.21,0.22,0.9,99.79,98.89,168,107,357,0,0,0,0,150,0,50,20.28,49.76,0,26.15,7.65,1.45,6.64,0,6.94,0,3.9,0,4.28,0.64,18.3,50,155,0,120,135,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
86-3-2,Pichowiak 1994,Granodiorite,P,Caleta El Cobre Batholith,0,346998,7318652,155.4,64.36,1.13,13.41,7.45,7.17,2.82,4.63,7.17,0.1,1.87,4.32,3.48,2.69,0.25,0.17,99.23,99.06,171,79,83,0,0,0,10,188,0,55.46,21.5,53.6,0,28.5,8.4,1.6,7.26,0,7.6,0,4.2,0,4.7,0.7,0,70,0,25,170,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-3-4,Pichowiak 1994,Leucogranite,P,Caleta El Cobre Batholith,0,346998,7318652,155.4,72.12,0.34,13.1,2.71,2.53,1.84,0.87,2.53,0.01,0.61,1.87,2.43,5.27,0.11,0.77,99.34,98.57,132,223,305,37,0,0,8,211,0,31.34,15.65,34.5,0,16.81,3.99,0.67,4.18,0,4.25,0,2.68,0,2.76,0.49,5.5,14,262,17,13,47,0,0,45,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
86-3-7,Pichowiak 1994,Quartz monzodiorite,P,Caleta El Cobre Batholith,0,346998,7318652,155.4,58.25,0.87,15.27,8.44,8.18,2.56,5.88,8.18,0.13,3.39,6.53,3.23,1.92,0.14,0.76,98.93,98.17,253,69,303,0,0,0,7,169,0,30,10.7,27.1,0,14.1,4.2,0.97,3.7,0,4.1,0,2.4,0,2.8,0.4,0,61,0,10,190,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-3-8,Pichowiak 1994,Monzodiorite,P,Caleta El Cobre Batholith,0,346998,7318652,155.4,55.31,0.51,17.1,7.54,7.28,2.58,4.96,7.28,0.13,4.89,8.29,2.9,1.17,0.01,1.5,99.35,97.85,289,11,65,0,0,0,2.5,65,0,14.7,5.1,13.3,0,6,1.9,0.6,1.7,0,2,0,1.2,0,1.48,0.2,0,45,0,105,220,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-3-9,Pichowiak 1994,Monzodiorite,P,Caleta El Cobre Batholith,0,346998,7318652,155.4,68.25,0.32,15.03,4.43,4.23,1.98,2.45,4.23,0.06,1.33,3.66,4.1,2.18,0.12,1.1,100.58,99.48,204,49,300,5,0,0,6,98,0,17.74,6.79,16.33,0,7.52,2.07,0.64,2.23,0,2.41,0,1.54,0,1.71,0.31,11.19,26,90,32,171,71,0,0,123,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
VO3,Oliveros et al 2007,Granodiorite,P,La Negra Formation,0,382886,7556560,155.6,52.7,0.84,17.78,9.14,8.99,1.5,7.64,8.99,0.13,4.67,8.46,3.27,1.2,0.17,0.65,99.01,98.36,348.9,35.36,211.3,2.77,0.9,0.16,1.73,78.18,2.16,16.85,8.32,18.46,2.53,11.13,2.88,1,2.8,0.45,2.84,0.58,1.68,0.26,1.77,0.28,0,43.91,26.41,23.66,139.2,281.8,0,0,19.55,2.43,0.55,-0.25,0.61,4.2,-0.05,-0.1,1.47,17.48,1.37,-0.1,5.86,3.73,0,0
81105,Rogers and Hawkesworth 1989,Tonalite,P,Jurassic pluton,Sierra de la Cruz,417190,7544566,156.1,62.67,0.72,16.81,5.54,5.38,1.58,3.96,5.38,0.08,2.73,5.44,4.08,1.72,0.14,0.61,100.64,100.03,378,43,264,5.4,0,0.39,9,134,4.04,27,15.5,34,0,16.9,3.8,1.02,0,0.61,0,0,0,0.32,2,2,0,0,0,18,37,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS18,Oliveros et al 2007,Diorite,P,La Negra Formation,0,380066,7491555,157,52.52,0.54,20.48,6.65,6.54,1.09,5.56,6.54,0.15,4.61,7.98,3.92,0.77,-0.01,1.57,99.19,97.62,427,12.72,209.6,0.64,0.17,0.08,0.92,44.74,1.22,11.7,5.57,12.3,1.71,7.78,1.98,0.89,2.06,0.33,2.04,0.4,1.16,0.18,1.23,0.2,0,99.08,28.02,47.69,36.21,150.8,0,0,69.01,-2.5,0.51,-0.25,0.53,-0.5,-0.05,-0.1,0.89,18.44,1.23,-0.1,1,3.47,0,0
VO183,Oliveros et al 2007,Diorite,P,La Negra Formation,0,370548,7516820,157.3,51.08,0.95,18.57,8.29,8.15,1.36,6.93,8.15,0.14,4.61,10.34,3.38,0.62,0.08,0.42,98.48,98.06,345,14.18,161.9,1.07,0.28,0.11,1.24,27.83,1,14.08,5.08,11.4,1.64,7.72,2.16,1.07,2.35,0.38,2.47,0.51,1.46,0.22,1.53,0.25,0,66.77,26.69,32.25,73.52,330.2,0,0,25,1.38,0.61,-0.25,0.61,0.23,-0.05,-0.1,0.53,19.04,1.26,-0.1,0.84,3.06,0,0
8059,Rogers and Hawkesworth 1989,Quartz gabbro,P,Jurassic pluton,Gatico,374350,7534373,158.3,53.1,0.66,17.51,9.56,9.4,1.59,7.97,9.4,0.15,5.57,10.07,3.32,0.69,0.1,0.27,100,99.73,343,16,175,1.73,0,0.08,5,67,1.75,20,5.7,13.7,0,0,2.5,0.97,0,0.47,0,0,0,0.27,1.87,1.87,0,0,0,20,126,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO181,Oliveros et al 2007,Diorite,P,La Negra Formation,0,372975,7486330,159.6,49.95,1.43,18.28,10.27,10.1,1.68,8.59,10.1,0.19,4.28,10.58,3.15,0.45,0.19,0.79,99.54,98.75,323.2,6.48,177.7,1.47,0.35,0.15,1.7,55.69,1.72,19.27,8.75,20.44,2.91,13.35,3.55,1.29,3.63,0.56,3.45,0.69,1.93,0.29,1.9,0.3,0,137.1,31.93,29.2,40.14,531.9,0,0,56.04,1.63,0.68,-0.25,0.79,-0.5,-0.05,-0.1,0.25,20.36,1.25,0.05,0.78,3.17,0,0
MCP-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360362,7238031,160,53.44,1.12,16.73,7.29,6.56,7.29,0,6.56,0.15,6.11,8.36,3.99,1.35,0.3,0.93,99.76,98.83,349,81.3,204,12.5,3.44,0,10,135,5,34,18.37,48.12,6.86,30.07,7.11,1.61,6.89,1.05,6.3,1.26,3.55,0.5,3.23,0.48,30,78,0,45,45,230,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,5.49,0,0
MCP-11,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360362,7238031,160,51.63,0.95,16.01,8.24,7.41,8.24,0,7.41,0.18,9.4,6.7,3.8,0.83,0.22,2.83,100.78,97.95,224,45.5,132,15.3,2.88,0,6,263,7,28,13.7,37.83,5.42,23.87,5.94,1.09,5.51,0.87,5.24,1.03,3.1,0.44,2.91,0.44,24,197,0,62,61,303,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,4.24,0,0
MCP-5,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360362,7238031,160,52.19,0.2,2.53,8.6,7.74,8.6,0,7.74,0.07,18.89,13.74,0.4,0.14,1.54,1.8,100.07,98.27,17.42,0.71,2.63,1.95,0.27,-0.25,-0.5,-0.25,2,18,14.98,29.58,3.33,13.16,2.53,0.35,2.63,0.39,2.38,0.51,1.49,0.2,1.42,0.24,-2.5,13,0,115,-5,760,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.81,0,0
QBA-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,362287,7214053,160,61.19,1.01,15.05,7.02,6.32,7.02,0,6.32,0.11,2.97,5.28,3.3,3.34,0.22,0.64,100.12,99.48,243,152,308,14.7,3.15,-0.25,12,374,9,31,18.18,44.77,6.03,25.91,5.91,1.2,5.76,0.88,5.35,1.12,3.19,0.46,2.96,0.43,18,50,0,16,44,157,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,18.2,0,0
QBA-5,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,362287,7214053,160,66.44,0.33,16.87,3.53,3.18,3.53,0,3.18,0.1,0.98,1.84,6.06,1.91,0.22,1.69,99.86,98.17,222,94.9,230,4.66,1.25,-0.25,6,194,6,20,21.2,46.21,5.84,22.76,4.33,1.23,3.67,0.55,3.31,0.69,2.13,0.34,2.27,0.38,10,64,0,-4,-5,-5,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,2.72,0,0
QCA-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078,7202995,160,71.98,0.67,14.12,4.19,3.77,4.19,0,3.77,0.02,1.38,0.34,1.17,4.29,0.17,2.09,100.45,98.36,59.09,155.36,624,11.62,1.71,-0.25,12,317,9,30,37.81,78.09,9.11,34.16,6.85,1.14,5.9,0.83,4.87,0.92,2.49,0.34,2.21,0.31,-2.5,225,0,22,58,100,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,15.87,0,0
QCA-2,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078,7202995,160,72.18,0.69,13.7,4.26,3.83,4.26,0,3.83,0.02,1.38,0.32,1.18,3.94,0.16,2.06,99.91,97.85,53.94,143.03,574,12.58,1.7,-0.25,13,301,8,32,39.55,82.96,9.56,36.2,7.05,1.14,6,0.84,4.92,0.88,2.4,0.33,2.13,0.31,14,191,0,19,66,99,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,11.06,0,0
QCA-3,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078,7202995,160,84.96,0.28,7.56,0.99,0.89,0.99,0,0.89,0.02,0.54,0.28,2.45,1.41,0.07,0.71,99.3,98.59,60.79,47.19,196,5.56,0.99,-0.25,7,269,8,20,8.65,20.13,2.56,10.38,2.36,0.4,2.41,0.43,2.84,0.59,1.67,0.25,1.54,0.21,-2.5,222,0,-4,16,14,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,20.56,0,0
QCA-5,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078,7202995,160,64.07,0.94,15.15,2.3,2.07,2.3,0,2.07,0.08,3.08,6.6,5.39,0.81,0.17,0.98,99.5,98.52,249.67,38.7,94,14.23,2.27,-0.25,11,290,8,31,18.51,53.31,7.44,30.45,6.28,1.19,5.7,0.87,5.41,1.08,3.08,0.42,2.79,0.41,16,35,0,23,51,139,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,5.91,0,0
QCA-6,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078,7202995,160,62.31,1.07,15.95,2.23,2.01,2.23,0,2.01,0.05,3.46,8.18,4.32,0.74,0.2,0.77,99.23,98.46,322,34.3,146,18.6,4.04,-0.25,10,311,8,33,30.19,71.18,8.48,32.49,6.53,1.43,6.08,0.97,5.75,1.17,3.25,0.47,2.99,0.43,14,31,0,35,59,159,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,11.5,0,0
QCA-7,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078,7202995,160,61.71,0.99,15.19,6.42,5.78,6.42,0,5.78,0.14,3.02,5.32,3.23,3.09,0.18,0.68,99.99,99.31,228,133,387,10.7,2.09,-0.25,9,393,10,32,13.59,31.39,4.17,18.26,4.7,1.14,4.91,0.81,5.02,1.02,2.95,0.43,2.77,0.41,19,87,0,23,49,139,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,30.5,0,0
QCA-9,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078,7202995,160,61.33,0.64,17.15,5.66,5.09,5.66,0,5.09,0.11,2.63,5.02,3.82,2.13,0.15,1.54,100.14,98.6,387,56,412,4.45,0.92,-0.25,5,140,5,21,16.83,35.26,4.33,17.26,3.64,0.99,3.48,0.54,3.28,0.66,1.92,0.28,1.81,0.28,11,103,0,14,22,114,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,13.2,0,0
QMA-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,358813,7225094,160,58.05,0.89,16.36,7.34,6.6,7.34,0,6.6,0.15,3.61,6.54,3.64,1.94,0.27,0.73,99.48,98.75,356,118,251,26.3,5.23,-0.25,7,219,6,23,21.19,48.82,6.23,24.95,5.43,1.34,5.04,0.77,4.4,0.89,2.6,0.36,2.39,0.36,14,94,0,24,59,166,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,0,11.2,0,0
QMA-2,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,358813,7225094,160,61.26,0.98,15.12,6.52,5.87,6.52,0,5.87,0.1,2.82,5.34,3.41,3.11,0.2,0.39,99.24,98.85,219,164,295,15.4,4.11,-0.25,9,415,10,33,22.77,53.49,6.78,27.13,5.95,1.19,5.68,0.87,5.24,1.06,3.1,0.46,2.76,0.42,15,63,0,15,39,153,0,0,0,0,0,0,0,0,0,0,10.34,0,0,0,0,14.1,0,0
QPA-2,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,357267,7212155,160,71.49,0.35,15.42,1.31,1.18,1.31,0,1.18,0.02,0.66,4.17,5.43,0.23,0.09,0.35,99.45,99.1,381,4.23,108,9.83,1.48,-0.25,5,207,6,22,8.33,27.34,3.97,17.01,3.87,0.85,3.63,0.57,3.41,0.69,2.03,0.31,2.01,0.29,-2.5,-5,0,-4,10,47,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,2.82,0,0
QPA-4,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,357267,7212155,160,55.27,1.24,15.23,10.51,9.46,10.51,0,9.46,0.12,4.36,7.4,2.94,2.05,0.35,0.63,100.18,99.55,342,52.8,347,11.5,1.95,-0.25,8,230,6,31,17.87,43.34,5.98,26.22,6.15,1.39,5.95,0.88,5.19,1.06,3.02,0.43,2.77,0.43,25,28,0,23,34,297,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,5.71,0,0
